2013-07-12,10
2013-10-18,3151034
2011-11-05,1
2012-05-18,479
2013-11-30,12194
2015-03-26,2
2014-05-12,16720
2011-03-24,1128
2011-08-07,6830
2013-05-24,22918
2014-04-12,2
2013-09-05,9757
2011-06-13,910
2013-06-16,49036
2015-05-26,377
2011-07-03,706
2010-10-07,20
2013-03-20,201
2015-01-05,14
2014-07-01,8608
2012-04-27,1118
2013-11-01,0
2013-07-07,5093
2013-10-27,56740
2012-02-11,18
2014-12-06,638
2014-11-17,17
2011-01-03,1570
2012-06-02,4271
2013-11-17,1272
2015-03-01,12
2014-05-05,74
2014-11-26,28
2011-08-12,7282
2015-09-21,25
2015-10-02,2
2013-09-12,758
2014-09-29,208
2013-12-04,4
2015-06-27,463
2012-05-22,45
2014-03-01,104
2011-07-10,871
2010-10-14,135
2012-03-06,432
2015-02-27,6
2014-02-11,7236
2010-12-22,16
2014-06-02,5306
2014-12-13,1051
2012-06-07,11
2015-04-16,593
2011-04-14,58
2013-06-25,116
2013-05-14,132288
2011-05-10,110
2014-10-01,144
2014-09-22,357
2015-06-28,750
2015-05-04,13
2014-03-14,243
2015-09-10,632
2012-09-10,14
2012-03-31,3034
2011-04-19,28
2012-04-13,50
2014-02-02,2015
2010-12-29,77
2014-11-18,9
2015-08-16,666
2014-06-13,2
2014-12-20,869
2014-01-06,447
2010-11-22,153
2013-11-03,12264
2011-04-07,894
2012-12-13,120
2014-10-08,125
2011-06-24,684
2014-09-15,2617
2013-06-07,72
2010-11-26,7726
2012-05-04,1
2014-03-23,2297
2011-07-24,42
2014-08-09,4119
2012-04-04,231
2012-06-03,473
2013-04-15,40716
2013-11-11,88757
2014-01-15,144560
2011-01-20,4
2013-07-30,4
2011-04-28,10
2014-05-16,67
2011-08-27,50
2012-08-18,36
2012-12-20,4999
2013-07-17,2499569
2014-04-16,10
2015-09-16,757
2013-03-15,252
2014-03-28,841
2012-01-23,69
2011-12-18,1744
2011-05-14,96
2014-02-28,11
2011-09-10,35
2012-04-02,19
2013-04-08,12530
2015-01-23,66
2014-01-16,36
2013-04-06,2
2011-02-03,236
2012-07-16,152
2013-01-20,708
2012-08-21,42
2012-06-16,17
2012-12-31,2271
2013-02-25,5054
2015-09-07,72
2013-06-10,17247
2012-10-25,93007
2012-11-18,2
2014-02-23,9300
2012-01-12,85
2012-09-19,125
2014-01-25,311
2010-12-04,435
2015-07-06,120
2013-10-22,58867
2014-06-20,1526
2011-03-31,185
2014-11-28,9841
2012-08-12,7228
2015-04-06,40
2012-11-19,19872
2015-03-30,320
2012-12-12,35
2011-07-21,208
2015-09-14,418
2011-06-01,4022
2013-12-15,119
2010-10-13,445
2015-05-22,704
2013-07-28,307
2011-07-07,1833
2012-03-09,393
2010-12-11,21
2013-07-11,12513
2014-09-17,114
2012-08-07,20
2012-06-06,2
2015-02-24,3084
2015-04-27,524
2014-05-09,197
2013-08-08,110
