2011-03-02,19
2013-06-22,8
2014-03-06,3
2011-07-09,48
2011-10-01,4
2013-03-30,3
2015-02-28,2
2014-02-10,3
2013-11-06,3
2013-10-01,1
2012-02-01,2
2014-12-12,4
2012-11-02,4
2011-04-15,1
2011-03-23,1
2013-05-13,8
2011-05-13,6
2014-04-01,15
2011-06-16,2
2014-09-23,6
2013-06-15,3
2011-09-21,1
2011-07-16,2
2012-03-24,1
2015-02-05,1
2014-02-13,7
2010-12-28,10
2015-08-17,3
2014-06-12,12
2014-12-11,3
2014-01-07,2
2011-11-25,1
2012-11-11,1
2011-04-04,14
2012-02-15,3
2011-02-02,2
2011-08-19,1
2011-07-17,5
2012-08-26,1
2013-02-07,1
2014-04-24,2
2014-10-11,2
2011-06-25,4
2014-09-08,6
2012-01-20,5
2012-05-05,1
2015-09-11,13
2014-08-08,1
2012-04-07,3
2014-02-04,1
2010-11-29,11
2014-01-08,4
2011-02-04,17
2013-01-28,1
2013-05-28,8
2012-08-29,3
2011-05-31,13
2014-10-18,1
2014-09-01,12
2014-03-29,1
2013-09-18,2
2011-10-20,1
2011-12-12,3
2012-10-17,30
2010-11-04,5
2012-02-22,9
2012-02-25,3
2015-01-22,2
2014-12-25,1
2013-05-29,1
2011-01-30,2
2011-03-22,6
2011-04-18,3
2012-03-11,1
2012-08-20,2
2011-05-22,7
2014-10-21,2
2013-08-31,2
2012-03-21,3
2013-05-20,12
2011-12-24,1
2012-12-07,1
2013-12-23,1
2013-11-02,7
2014-02-22,3
2012-04-03,3
2010-10-19,10
2010-12-03,7
2013-07-19,11
2014-06-23,6
2012-08-15,37
2015-04-07,1
2014-11-30,5
2015-03-29,2
2013-05-19,4
2011-06-02,4
2015-08-26,1
2013-07-05,1
2015-05-17,1
2011-07-06,6
2012-09-25,10
2012-03-10,2
2010-11-24,23
2013-06-04,2
2012-07-03,1
2010-11-25,22
2013-11-29,6
2015-04-28,2
2013-11-28,5
2013-04-19,1
2013-08-09,7
